#,MM:DD:YYYY,HH:MM:SS,PM1.0,PM2.5,PM10.0,TVOC(ppb),CO2(ppm)
1, 1/ 1/2000,12:05:00 AM,3,3,3,3173,705
2, 1/ 1/2000,12:06:00 AM,4,6,6,2597,642
3, 1/ 1/2000,12:07:00 AM,3,5,6,2212,600
4, 1/ 1/2000,12:08:00 AM,4,5,8,1898,558
5, 1/ 1/2000,12:09:00 AM,3,4,4,1605,491
6, 1/ 1/2000,12:10:00 AM,2,3,6,1360,433
7, 1/ 1/2000,12:11:00 AM,3,4,4,1289,418
8, 1/ 1/2000,12:12:00 AM,4,7,8,1194,402
9, 1/ 1/2000,12:13:00 AM,4,6,9,1126,400
10, 1/ 1/2000,12:14:00 AM,2,2,5,1051,400
11, 1/ 1/2000,12:15:00 AM,2,3,4,996,400
12, 1/ 1/2000,12:16:00 AM,4,5,5,948,400
13, 1/ 1/2000,12:17:00 AM,4,5,8,888,400
14, 1/ 1/2000,12:18:00 AM,5,6,7,843,400
15, 1/ 1/2000,12:19:00 AM,4,7,7,803,400
16, 1/ 1/2000,12:20:00 AM,3,6,11,755,400
17, 1/ 1/2000,12:21:00 AM,3,4,6,717,400
18, 1/ 1/2000,12:22:00 AM,3,5,6,666,400
19, 1/ 1/2000,12:23:00 AM,4,5,7,620,400
20, 1/ 1/2000,12:24:00 AM,3,3,5,610,400
21, 1/ 1/2000,12:25:00 AM,5,6,6,592,400
22, 1/ 1/2000,12:26:00 AM,3,5,5,562,400
23, 1/ 1/2000,12:27:00 AM,6,7,7,545,400
24, 1/ 1/2000,12:28:00 AM,4,4,4,529,400
25, 1/ 1/2000,12:29:00 AM,5,8,9,531,400
26, 1/ 1/2000,12:30:00 AM,2,3,3,519,400
27, 1/ 1/2000,12:31:00 AM,3,4,4,491,400
28, 1/ 1/2000,12:32:00 AM,3,5,5,496,400
29, 1/ 1/2000,12:33:00 AM,5,5,7,473,400
30, 1/ 1/2000,12:34:00 AM,3,4,4,461,400
31, 1/ 1/2000,12:35:00 AM,3,4,4,445,400
32, 1/ 1/2000,12:36:00 AM,4,5,7,449,400
33, 1/ 1/2000,12:37:00 AM,5,5,7,480,400
34, 1/ 1/2000,12:38:00 AM,3,5,5,491,400
35, 1/ 1/2000,12:39:00 AM,3,5,6,520,400
36, 1/ 1/2000,12:40:00 AM,4,6,6,516,400
37, 1/ 1/2000,12:41:00 AM,4,6,8,524,400
38, 1/ 1/2000,12:42:00 AM,5,10,13,519,400
39, 1/ 1/2000,12:43:00 AM,4,6,6,499,400
40, 1/ 1/2000,12:44:00 AM,4,5,10,461,400
41, 1/ 1/2000,12:45:00 AM,3,5,8,462,400
42, 1/ 1/2000,12:46:00 AM,3,5,6,450,400
43, 1/ 1/2000,12:47:00 AM,3,4,6,438,400
44, 1/ 1/2000,12:48:00 AM,4,6,8,432,400
45, 1/ 1/2000,12:49:00 AM,4,6,7,429,400
46, 1/ 1/2000,12:50:00 AM,4,5,10,410,400
47, 1/ 1/2000,12:51:00 AM,4,6,11,404,400
48, 1/ 1/2000,12:52:00 AM,3,4,8,430,400
