#,MM:DD:YYYY,HH:MM:SS,PM1.0,PM2.5,PM10.0,TVOC(ppb),CO2(ppm)
1, 9/20/2021, 2:11: 0 AM,0,0,1,2438,3490
2, 9/20/2021, 2:12: 0 AM,0,0,0,2404,3559
3, 9/20/2021, 2:13: 0 AM,1,1,1,2230,3451
4, 9/20/2021, 2:14: 0 AM,0,0,0,2198,3485
5, 9/20/2021, 2:15: 0 AM,1,1,1,2189,3534
6, 9/20/2021, 2:16: 0 AM,0,0,0,2101,3480
7, 9/20/2021, 2:17: 0 AM,0,0,2,2131,3579
8, 9/20/2021, 2:18: 0 AM,0,0,0,2090,3625
9, 9/20/2021, 2:19: 0 AM,1,2,6,2053,3581
10, 9/20/2021, 2:20: 0 AM,0,0,0,2007,3608
11, 9/20/2021, 2:21: 0 AM,1,1,3,1963,3539
12, 9/20/2021, 2:22: 0 AM,0,0,1,1990,3598
13, 9/20/2021, 2:23: 0 AM,0,0,1,1935,3493
14, 9/20/2021, 2:24: 0 AM,0,0,0,1914,3515
15, 9/20/2021, 2:25: 0 AM,0,0,0,1889,3422
16, 9/20/2021, 2:26: 0 AM,0,0,0,1919,3412
17, 9/20/2021, 2:27: 0 AM,0,0,0,1884,3478
18, 9/20/2021, 2:28: 0 AM,0,0,0,1826,3395
19, 9/20/2021, 2:29: 0 AM,0,1,4,1799,3336
20, 9/20/2021, 2:30: 0 AM,0,0,0,1831,3341
21, 9/20/2021, 2:31: 0 AM,0,0,0,1769,3287
22, 9/20/2021, 2:32: 0 AM,0,0,1,1773,3291
23, 9/20/2021, 2:33: 0 AM,0,0,1,1736,3287
24, 9/20/2021, 2:34: 0 AM,0,0,1,1753,3262
25, 9/20/2021, 2:35: 0 AM,0,0,0,1750,3233
26, 9/20/2021, 2:36: 0 AM,0,0,0,1757,3282
27, 9/20/2021, 2:37: 0 AM,0,0,0,1736,3257
28, 9/20/2021, 2:38: 0 AM,0,0,0,1727,3201
29, 9/20/2021, 2:39: 0 AM,2,4,4,1718,3215
30, 9/20/2021, 2:40: 0 AM,0,0,1,1706,3211
31, 9/20/2021, 2:41: 0 AM,1,1,1,1718,3196
32, 9/20/2021, 2:42: 0 AM,1,1,1,1697,3122
33, 9/20/2021, 2:43: 0 AM,0,0,0,1686,3090
34, 9/20/2021, 2:44: 0 AM,0,0,0,1621,3019
35, 9/20/2021, 2:45: 0 AM,0,0,0,1621,3078
36, 9/20/2021, 2:46: 0 AM,1,1,1,1669,3014
37, 9/20/2021, 2:47: 0 AM,0,0,1,1614,3012
38, 9/20/2021, 2:48: 0 AM,0,0,0,1612,3004
39, 9/20/2021, 2:49: 0 AM,0,0,0,1633,3012
40, 9/20/2021, 2:50: 0 AM,0,0,0,1586,2884
41, 9/20/2021, 2:51: 0 AM,0,0,0,1603,2950
42, 9/20/2021, 2:52: 0 AM,0,0,0,1596,2923
43, 9/20/2021, 2:53: 0 AM,1,1,1,1584,2891
44, 9/20/2021, 2:54: 0 AM,0,0,0,1542,2862
45, 9/20/2021, 2:55: 0 AM,0,1,1,1577,2891
46, 9/20/2021, 2:56: 0 AM,0,0,0,1512,2788
47, 9/20/2021, 2:57: 0 AM,0,0,0,1512,2825
48, 9/20/2021, 2:58: 0 AM,0,0,0,1529,2820
49, 9/20/2021, 2:59: 0 AM,0,0,0,1533,2830
50, 9/20/2021, 3: 0: 0 AM,0,0,0,1554,2779
51, 9/20/2021, 3: 1: 0 AM,0,0,0,1466,2698
52, 9/20/2021, 3: 2: 0 AM,0,1,1,1570,2774
53, 9/20/2021, 3: 3: 0 AM,0,0,0,1510,2747
54, 9/20/2021, 3: 4: 0 AM,1,1,1,1496,2646
55, 9/20/2021, 3: 5: 0 AM,0,0,0,1480,2653
56, 9/20/2021, 3: 6: 0 AM,0,0,0,1492,2634
57, 9/20/2021, 3: 7: 0 AM,0,0,0,1429,2526
58, 9/20/2021, 3: 8: 0 AM,0,0,0,1469,2617
59, 9/20/2021, 3: 9: 0 AM,0,0,0,1480,2617
60, 9/20/2021, 3:10: 0 AM,0,0,0,1434,2526
61, 9/20/2021, 3:11: 0 AM,0,0,0,1443,2521
62, 9/20/2021, 3:12: 0 AM,0,0,0,1420,2423
63, 9/20/2021, 3:13: 0 AM,0,0,0,1406,2442
64, 9/20/2021, 3:14: 0 AM,0,0,0,1406,2388
65, 9/20/2021, 3:15: 0 AM,1,1,1,1402,2374
66, 9/20/2021, 3:16: 0 AM,0,0,0,1356,2285
67, 9/20/2021, 3:17: 0 AM,0,0,0,1342,2344
